Code;Location;Voters;Envelopes issued;Valid votes;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
535281;Mydlovary;249;157;156;54;1;0;0;1;10;11;0;12;1;4;0;0;0;0;10;1;0;9;13;6;15;8;0;0
535371;Nákří;174;112;112;22;0;0;0;3;14;10;1;11;1;4;1;0;0;0;2;0;2;1;13;1;12;14;0;0
544825;Nedabyle;290;219;219;59;0;0;0;0;21;23;0;26;1;2;0;0;0;1;14;0;5;5;15;8;32;7;0;0
535435;Neplachov;292;194;194;64;0;1;0;0;12;11;0;27;2;1;1;0;1;2;11;0;3;1;19;9;9;20;0;0
535648;Nová Ves;566;436;435;125;0;0;2;0;32;16;2;54;4;2;4;0;2;1;31;2;6;7;62;18;23;41;0;1
544868;Nové Hrady;2045;1224;1214;346;2;0;0;3;179;47;3;117;10;14;0;0;3;3;32;5;16;7;177;30;103;113;0;4
544884;Olešnice;639;396;392;111;0;0;0;0;54;20;0;52;6;3;0;0;0;1;20;2;7;0;36;16;35;28;0;1
544892;Olešník;642;395;395;101;0;0;1;2;33;19;2;60;4;4;2;0;0;0;23;1;7;6;47;11;38;34;0;0
535231;Ostrolovský Újezd;134;104;103;33;0;0;0;0;9;6;0;18;0;0;0;0;0;2;7;0;1;1;5;5;9;7;0;0
535699;Petříkov;254;175;175;40;0;1;0;1;18;6;0;30;1;0;0;0;0;0;8;0;4;2;19;11;24;8;0;2
535991;Pištín;525;359;354;82;0;0;0;1;26;17;0;27;10;4;0;0;2;1;42;3;19;7;48;10;38;17;0;0
535176;Planá;194;134;133;33;0;0;0;0;15;2;1;21;4;2;0;0;2;0;9;0;3;3;12;4;13;9;0;0
535346;Plav;330;265;263;63;2;0;0;0;18;9;0;33;1;2;1;0;0;0;11;1;7;7;34;19;42;12;1;0
544965;Radošovice;145;88;88;28;0;0;0;1;6;9;0;8;0;1;0;0;0;0;8;0;0;2;6;2;9;8;0;0
544973;Roudné;922;671;667;183;1;0;1;4;25;26;3;123;5;2;1;1;7;0;42;4;21;6;54;51;60;46;1;0
544981;Rudolfov;2049;1399;1395;404;2;0;4;5;86;72;2;228;14;9;0;0;1;1;73;5;35;18;141;84;128;78;3;2
545007;Římov;694;471;469;95;0;1;0;0;44;30;3;102;4;5;0;1;0;0;23;4;8;10;32;18;57;31;0;1
545015;Sedlec;399;281;278;89;0;1;0;1;21;21;0;26;1;2;0;0;0;0;26;0;5;4;14;8;34;24;0;1
545023;Slavče;537;303;301;101;0;0;0;0;55;18;0;24;3;8;1;0;0;0;11;0;4;4;27;10;24;11;0;0
545066;Srubec;1877;1346;1345;379;0;0;2;2;56;71;1;234;19;4;2;0;3;0;112;2;24;15;98;101;148;69;1;2
545074;Staré Hodějovice;955;670;667;155;0;0;3;4;47;19;2;107;11;1;0;0;0;3;53;0;17;6;79;63;65;31;0;1
545082;Strážkovice;395;271;270;86;0;0;1;1;24;6;0;45;4;3;0;1;2;4;9;0;6;3;23;8;30;13;0;1
536032;Strýčice;52;38;38;19;0;0;0;0;2;2;0;2;2;2;1;0;0;0;3;0;0;0;1;0;2;2;0;0
545091;Střížov;180;117;116;30;0;0;0;0;4;3;0;24;1;0;0;0;0;0;9;0;4;4;15;6;10;6;0;0
545104;Svatý Jan nad Malší;439;288;286;105;0;0;0;0;24;12;2;41;4;3;2;0;2;0;7;3;4;3;26;7;29;11;1;0
545121;Ševětín;1099;718;714;236;0;1;2;1;66;43;5;80;5;7;0;0;0;0;43;1;4;14;62;34;66;41;1;2
545139;Štěpánovice;685;436;435;134;1;0;0;0;32;31;1;43;2;0;0;1;0;1;45;1;3;4;73;4;36;21;1;1
545155;Temelín;703;424;422;116;0;0;2;2;51;15;2;34;3;3;2;0;1;2;22;1;7;6;61;11;40;41;0;0
545171;Trhové Sviny;4082;2501;2474;816;4;0;0;7;279;139;2;224;34;19;5;1;4;2;79;2;46;27;309;76;253;140;1;5
545201;Týn nad Vltavou;6491;3892;3861;1049;1;0;2;18;356;199;6;419;49;36;6;1;4;6;101;15;131;54;436;160;541;266;1;4
535494;Úsilné;374;258;256;70;0;0;0;0;11;11;2;49;2;2;0;0;0;3;23;0;7;1;29;11;23;12;0;0
545228;Včelná;1593;1082;1077;286;0;1;0;2;64;53;1;195;18;8;0;1;7;0;55;2;24;23;114;76;101;45;0;1
535737;Vidov;442;333;329;97;0;0;0;0;15;12;1;42;7;1;0;1;0;0;26;2;13;3;35;21;42;11;0;0
535893;Vitín;339;229;225;68;0;0;0;0;15;13;0;21;14;1;0;0;0;0;9;1;7;4;20;10;15;26;1;0
535915;Vlkov;33;24;24;5;0;2;0;0;1;2;0;1;0;1;0;0;0;0;2;0;0;2;3;0;5;0;0;0
545261;Vrábče;593;390;383;95;0;0;0;2;21;35;0;59;3;1;0;0;1;0;19;0;6;10;36;34;44;16;0;1
535796;Vráto;312;219;218;63;0;1;0;0;15;6;5;44;2;2;2;1;0;2;13;0;8;3;14;6;22;9;0;0
545287;Všemyslice;879;583;582;181;2;2;0;4;46;24;2;93;6;3;0;1;0;2;25;1;5;3;59;17;76;30;0;0
545317;Záboří;289;161;160;36;0;0;0;1;16;6;0;17;0;1;0;0;0;3;15;2;3;1;21;6;11;21;0;0
536016;Zahájí;371;253;252;94;0;0;0;2;30;12;1;22;2;1;0;0;0;0;20;0;3;3;19;11;12;18;0;2
599778;Závraty;33;25;25;4;0;0;0;0;0;5;0;4;0;0;0;0;0;0;3;0;2;0;6;0;0;1;0;0
545341;Zliv;2941;1846;1831;618;3;0;1;2;169;63;5;188;28;6;3;1;2;0;107;5;27;19;224;83;157;115;1;4
535591;Zvíkov;215;168;168;31;0;0;1;0;20;11;0;19;3;5;0;0;0;0;12;0;3;1;30;6;15;11;0;0
545368;Žabovřesky;336;208;206;70;0;1;0;0;16;9;1;20;1;1;0;0;1;0;16;0;0;0;22;2;33;13;0;0
545376;Žár;284;139;139;50;1;0;0;0;27;3;0;9;4;3;0;0;0;0;2;1;1;1;11;4;17;4;0;1
545384;Žimutice;518;326;323;103;0;0;0;3;25;22;0;35;9;2;1;0;2;1;9;3;1;2;30;7;27;38;0;3
